,Movie Title,Certification,Runtime,Rating,Release Year,Metascore
232,A Royal Affair,R,137,7.5,2012,73
233,Les Misérables,PG-13,134,7.5,1998,
234,Ballon,,125,7.6,2018,44
235,Robert the Bruce,,124,5.1,2019,
236,Cast a Giant Shadow,Approved,146,6.3,1966,
237,Woman in Gold,PG-13,109,7.3,2015,51
238,Gallipoli,PG,110,7.4,1981,65
239,"Aguirre, the Wrath of God",Not Rated,95,8.0,1972,
240,Takht,,,,2021,
241,The Grapes of Wrath,Passed,129,8.0,1940,96
242,Mrs Lowry & Son,Not Rated,91,6.6,2019,42
243,Land of Mine,R,100,7.8,2015,75
244,Heroic Losers,,116,7.6,2019,
245,Balto,G,78,7.1,1995,
246,Häxan,Not Rated,91,7.7,1922,
247,The Kidnapping of Edgardo Mortara,,,,,
248,The Outpost,,,,(I,
249,Victoria & Abdul,PG-13,111,6.8,2017,58
250,The Rising Hawk,,135,7.4,2019,
251,Mission Mangal,Not Rated,130,6.5,2019,
252,Vault,R,99,5.4,2019,
253,Silkwood,R,131,7.2,1983,64
254,Jin ling shi san chai,R,146,7.6,2011,46
255,The Alamo,Passed,162,6.9,1960,
256,Scandal,R,106,6.5,1989,
257,Agora,R,127,7.2,2009,55
258,Bajirao Mastani,Not Rated,158,7.2,2015,
259,The Greatest Game Ever Played,PG,120,7.4,2005,55
260,Louis Wain,,,,2020,
261,Pilgrimage,Not Rated,96,5.8,2017,60
262,Suffragette,PG-13,106,6.9,2015,67
263,The Messenger: The Story of Joan of Arc,R,148,6.4,1999,54
264,The Leopard,PG,186,8.0,1963,100
265,Untitled Fred Hampton Project,,,,2020,
266,Kama Sutra: A Tale of Love,R,114,6.0,1996,
267,Seabiscuit,PG-13,140,7.3,2003,72
268,Ashes in the Snow,,98,6.7,2018,42
269,Tora! Tora! Tora!,G,144,7.5,1970,46
270,Secretariat,PG,123,7.2,2010,61
271,A Passage to India,PG,164,7.3,1984,78
272,Shock and Awe,R,90,6.1,2017,47
273,The Greatest Story Ever Told,G,260,6.6,1965,
274,Henry V,PG-13,137,7.5,1989,83
275,The Great Alaskan Race,PG,87,4.8,2019,29
276,Sergeant York,Passed,134,7.7,1941,
277,Frantz,PG-13,113,7.5,2016,73
278,Kagemusha,PG,162,8.0,1980,84
279,Phantom,R,98,5.9,2013,40
280,El fotógrafo de Mauthausen,TV-MA,110,6.7,2018,
281,Reds,PG,195,7.3,1981,76
282,Shattered Glass,PG-13,94,7.1,2003,73
283,Testament of Youth,PG-13,129,7.3,2014,76
284,Destination Tokyo,Approved,135,7.1,1943,
285,"Good Night, and Good Luck.",PG,93,7.4,2005,80
286,A Twelve-Year Night,TV-MA,122,7.6,2018,
287,Kundun,PG-13,134,7.0,1997,74
288,Woman Walks Ahead,R,101,6.6,2017,51
289,The Assassin,Not Rated,105,6.3,2015,80
290,The Man Who Would Be King,PG,129,7.8,1975,91
291,K-19: The Widowmaker,PG-13,138,6.7,2002,58
292,Chappaquiddick,PG-13,106,6.5,2017,67
293,The Message,PG,177,8.2,1976,
294,Flyboys,PG-13,140,6.5,2006,47
295,The Most Hated Woman in America,TV-MA,91,6.1,2017,41
296,Samson and Delilah,Approved,134,6.8,1949,
297,Ned Kelly,R,110,6.5,2003,56
298,Titus,R,162,7.1,1999,57
299,The Man Standing Next,,114,7.4,2020,
300,Z,M/PG,127,8.3,1969,
301,W.E.,R,119,6.3,2011,37
302,Into the White,R,104,7.2,2012,
303,1492: Conquest of Paradise,PG-13,154,6.5,1992,47
304,The Last Planet,,,,2020,
305,The Nightingale,,,,,
306,The Decameron,R,111,7.1,1971,
307,Bobby,R,117,7.0,2006,54
308,Sobibor,TV-MA,110,6.3,2018,
309,Battleship Potemkin,Not Rated,66,8.0,1925,
310,Batman: Gotham by Gaslight,R,78,6.7,2018,
311,Malmkrog,,201,5.8,2020,
312,Dragon Blade,R,127,6.0,2015,41
313,Jesus Christ Superstar,G,106,7.4,1973,64
314,The First King,,123,6.7,2019,
315,Caravaggio,,93,6.6,1986,55
316,Gods and Generals,PG-13,219,6.4,2003,30
317,The King,,,,(I,
318,Wuthering Heights,PG,105,6.8,1992,
319,Polytechnique,Not Rated,77,7.2,2009,63
320,The Crimson Blade,Approved,83,5.6,1963,
321,Hollywoodland,R,126,6.5,2006,62
322,Cleopatra,,,,,
323,Che: Part One,Not Rated,134,7.2,2008,
324,Red Cliff,R,148,7.4,2008,73
325,The Great Battle,Not Rated,136,7.0,2018,
326,Quiz Show,PG-13,133,7.5,1994,88
327,The Passion of Joan of Arc,Not Rated,114,8.1,1928,
328,Truth,R,125,6.8,2015,66
329,Texas Killing Fields,R,105,5.7,2011,49
330,Ironclad,R,121,6.1,2011,42
331,The Emigrants,PG,151,8.0,1971,
332,In Cold Blood,R,134,7.9,1967,89
333,Rurouni Kenshin Part I: Origins,TV-MA,134,7.5,2012,
334,"Paul, Apostle of Christ",PG-13,108,6.6,2018,52
335,Missing,PG,122,7.7,1982,78
336,Russian Ark,Not Rated,99,7.4,2002,86
337,Waterloo,G,123,7.3,1970,
338,Persepolis,PG-13,96,8.0,2007,90
339,Mark Felt: The Man Who Brought Down The White House,PG-13,103,6.4,2017,49
340,Battle of the Bulge,Not Rated,167,6.8,1965,
341,Cyrano de Bergerac,PG,137,7.5,1990,79
342,LBJ,R,98,6.5,2016,54
343,Raise the Red Lantern,PG,125,8.1,1991,
344,Benedetta,,,,2020,
345,Bumi Manusia,,181,6.5,2019,
346,The Legend Is Born: Ip Man,Not Rated,100,7.1,2010,
347,Gansin,,133,6.1,2015,
348,Queen Margot,R,159,7.4,1994,
349,The Alamo,PG-13,137,6.0,2004,47
350,Julius Caesar,Not Rated,120,7.3,1953,
351,Far from the Madding Crowd,PG,168,7.2,1967,55
352,Hei tai yang 731,Not Rated,105,6.1,1988,
353,The Diary of Anne Frank,Approved,180,7.4,1959,59
354,Fellini's Casanova,R,155,7.1,1976,
355,Churchill,PG,105,6.4,2017,44
356,Eight Men Out,PG,119,7.2,1988,71
357,Quo Vadis,Not Rated,171,7.2,1951,
358,Escobar: Paradise Lost,R,120,6.5,2014,56
359,Mutiny on the Bounty,Not Rated,178,7.3,1962,48
360,The Libertine,R,114,6.3,2004,44
361,Worth,,118,8.7,2020,68
362,Tom Jones,Not Rated,129,6.5,1963,77
363,A Field in England,Not Rated,90,6.3,2013,73
364,The Fall of the Roman Empire,Approved,188,6.7,1964,
365,Risen,PG-13,107,6.3,2016,51
366,Ayla: The Daughter of War,,125,8.5,2017,
367,Northmen - A Viking Saga,R,97,5.4,2014,50
368,The Girl King,Not Rated,106,5.9,2015,37
369,Mandingo,R,127,6.3,1975,
370,Inherit the Wind,Passed,128,8.1,1960,75
371,Macbeth,R,140,7.4,1971,
372,Mr. Turner,R,150,6.8,2014,94
373,The Dig,,,,2020,
374,A Night to Remember,Not Rated,123,7.9,1958,
375,In Dubious Battle,R,110,6.1,2016,43
376,The Emperor of Paris,TV-MA,120,6.3,2018,
377,Black Friday,Not Rated,143,8.5,2004,76
378,Lonely Hearts,R,108,6.4,2006,60
379,Raffles,,72,6.5,1930,
380,Mongol: The Rise of Genghis Khan,R,126,7.2,2007,74
381,Redbad,,160,5.4,2018,
382,Parkland,PG-13,93,6.3,2013,51
383,For Whom the Bell Tolls,Passed,170,6.9,1943,
384,Draug,,87,4.6,2018,
385,Salvador,R,122,7.4,1986,
386,Jodhaa Akbar,Not Rated,213,7.6,2008,69
387,Taking Woodstock,R,120,6.7,2009,55
388,Rosewood,R,140,7.2,1997,71
389,Born a King,,103,7.7,2019,
390,Sami Blood,,110,7.3,2016,79
391,Western Union,Passed,95,6.7,1941,
392,War and Peace,GP,422,8.3,1966,
393,Elvis & Nixon,R,86,6.4,2016,59
394,A Tale of Two Cities,Passed,128,7.8,1935,
395,Goya's Ghosts,R,113,6.9,2006,52
396,Lady Jane,PG-13,136,7.1,1986,
397,The King's Letters,,110,5.5,2019,
398,Unbroken: Path to Redemption,PG-13,98,5.7,2018,39
399,Disraeli,Passed,90,6.2,1929,
400,15 Minutes of War,TV-14,98,6.3,2019,44
401,Peterloo,PG-13,154,6.5,2018,66
402,Furious,,107,6.2,2017,
403,Bel Ami,R,102,5.4,2012,42
404,Alone in Berlin,R,103,6.5,2016,52
405,The Trench,Not Rated,98,6.0,1999,58
406,Revolution,PG-13,126,5.3,1985,22
407,Amazing Grace,PG,118,7.4,2006,65
408,Fetih 1453,Not Rated,162,6.7,2012,
409,Little Boy,PG-13,106,7.4,2015,30
410,Arabian Nights,NC-17,130,6.8,1974,
411,Kapgang,,108,6.6,2014,
412,The Canterbury Tales,NC-17,111,6.5,1972,
413,Mrs Brown,PG,101,7.2,1997,71
414,King of the Hill,PG-13,103,7.5,1993,86
415,Birkebeinerne,R,99,6.1,2016,
416,The Baader Meinhof Complex,R,150,7.4,2008,76
417,Joyeux Noel,PG-13,116,7.7,2005,70
418,Battleground,Approved,118,7.4,1949,
419,Heaven & Earth,R,140,6.8,1993,
420,In This Corner of the World,PG-13,129,7.8,2016,73
421,Backstabbing for Beginners,R,108,6.2,2018,48
422,The Madness of King George,PG-13,110,7.2,1994,89
423,Ghosts of Mississippi,PG-13,130,6.7,1996,
424,Un peuple et son roi,,121,5.9,2018,
425,Deliler,,121,5.6,2018,
426,El Cid,Approved,182,7.2,1961,79
427,Dau,,330,6.6,2019,
428,Rabbit-Proof Fence,PG,94,7.4,2002,80
429,Experimenter,PG-13,98,6.6,2015,81
430,The Robe,Unrated,135,6.7,1953,
431,Becket,PG-13,148,7.8,1964,68
432,Sunshine,R,181,7.5,1999,71
433,Anne of the Thousand Days,PG,145,7.5,1969,
434,The Color of Pomegranates,Not Rated,79,7.7,1969,
435,Air Force,Approved,124,7.0,1943,
436,Gwen,Not Rated,84,6.7,2018,63
437,Sado,,125,7.0,2015,
438,Another Country,PG,90,7.1,1984,
439,Matewan,PG-13,135,7.9,1987,73
440,The Battleship Island,Not Rated,132,7.1,2017,60
441,Renoir,R,111,6.5,2012,64
442,The First Texan,Approved,82,6.2,1956,
443,Chapter 27,R,84,5.7,2007,32
444,Stonewall,R,129,5.2,2015,30
445,Nicholas and Alexandra,GP,183,7.2,1971,
446,Warsaw '44,,130,6.6,2014,
447,Chasing the Dragon,,128,6.8,2017,
448,Liberté,,132,4.7,2019,47
449,Virgin Territory,R,97,4.8,2007,
450,Mutiny on the Bounty,Not Rated,132,7.7,1935,87
451,The Warlords,R,126,7.0,2007,70
452,The Admiral,Not Rated,128,7.1,2014,
453,United,PG-13,94,7.4,2011,
454,Southside with You,PG-13,84,6.4,2016,74
455,Phoenix,PG-13,98,7.3,2014,89
456,The Heroes of Telemark,Approved,131,6.5,1965,
457,Commandos Strike at Dawn,Approved,98,6.6,1942,
458,A Mighty Heart,R,108,6.6,2007,74
459,Mark of the Devil,R,90,6.2,1970,
460,The Birdcatcher,TV-PG,100,4.7,2019,
461,Intolerance: Love's Struggle Throughout the Ages,Passed,197,7.8,1916,99
462,The Fighting Preacher,PG,100,5.4,2019,
463,The Brawler,,95,4.6,2018,46
464,1776,G,141,7.6,1972,
465,Sweet Country,R,113,6.9,2017,87
466,Burnt by the Sun,R,135,7.9,1994,
467,Bill,PG,94,6.5,2015,60
468,Sissi,,102,7.0,1955,
469,Made in Dagenham,R,113,7.2,2010,65
